"Time (s)","Acceleration (m/s²)"
1.211804192E1,1.581671834E-3
1.215789092E1,2.030153275E-3
1.219773992E1,1.640377879E-2
1.223758892E1,-7.546416521E-3
1.227743792E1,-4.402368665E-3
1.231728692E1,-1.106293201E-3
1.235713592E1,2.038924098E-3
1.239698392E1,9.414017200E-5
1.243683292E1,-1.993900537E-3
1.247668192E1,-9.928572178E-3
1.251653092E1,4.146845341E-3
1.255637992E1,-1.991561651E-3
1.259622892E1,-1.127226233E-2
1.263607792E1,1.302759647E-3
1.267592692E1,1.006890535E-3
1.271577592E1,-9.019914865E-3
1.275562492E1,1.044429660E-2
1.279547392E1,-4.222859144E-3
1.283532192E1,5.053163767E-3
1.287517092E1,-4.974811077E-3
1.291501992E1,-1.531970501E-3
1.295486892E1,1.059047699E-2
1.299471792E1,6.845335364E-3
1.303456733E1,-1.985714436E-3
1.307441633E1,3.104286790E-3
1.311426533E1,1.193650603E-2
1.315411433E1,2.578622103E-4
1.319396333E1,-6.778677106E-3
1.323381133E1,-3.935760856E-3
1.327366033E1,-8.426422477E-3
1.331350933E1,-7.934671640E-4
1.335335833E1,5.554854870E-4
1.339320733E1,-1.650844395E-2
1.343305633E1,4.745015502E-3
1.347290533E1,2.225625694E-2
1.351275433E1,1.162718832E-2
1.355260333E1,5.191742778E-3
1.359245133E1,5.337923169E-3
1.363230033E1,9.529792070E-3
1.367214933E1,3.540489078E-3
1.371199833E1,6.685121655E-3
1.375184733E1,3.242865801E-3
1.379169633E1,4.440375566E-3
1.383154533E1,2.467525005E-4
1.387139433E1,-4.975980520E-4
1.391124233E1,5.494043827E-3
1.395109133E1,9.087742567E-3
1.399094033E1,-3.639891744E-3
1.403078967E1,8.330528140E-3
1.407063867E1,7.577991486E-3
1.411048767E1,5.920890570E-3
1.415033667E1,-6.060054302E-3
1.419018467E1,8.453904390E-3
1.423003367E1,-2.627153993E-3
1.426988267E1,-3.376182318E-3
1.430973167E1,4.999954104E-3
1.434958067E1,-7.432395816E-3
1.438942967E1,1.367195964E-2
1.442927867E1,2.740589976E-3
1.446912667E1,6.479299664E-3
1.450897567E1,-2.505531907E-3
1.454882467E1,8.086406887E-2
1.458867367E1,4.351714236E-1
1.462852267E1,7.634376186E-1
1.466837167E1,9.179175478E-1
1.470822067E1,1.036470430E0
1.474806867E1,1.063867559E0
1.478791767E1,8.378381753E-1
1.482776667E1,4.904159170E-1
1.486761567E1,4.085367715E-1
1.490746467E1,2.296552420E-1
1.494731367E1,1.464359146E-1
1.498716167E1,1.130559146E-1
1.502701067E1,1.648464578E-1
1.506685933E1,1.365587980E-1
1.510670833E1,1.887989920E-1
1.514655733E1,2.328068912E-1
1.518640633E1,2.630486906E-1
1.522625433E1,2.884957731E-1
1.526610333E1,3.169418925E-1
1.530595233E1,3.226283097E-1
1.534580133E1,3.657357377E-1
1.538565033E1,3.652895951E-1
1.542549933E1,3.807046098E-1
1.546534733E1,4.137899101E-1
1.550519633E1,4.215725541E-1
1.554504533E1,4.239675736E-1
1.558489433E1,4.082479191E-1
1.562474333E1,3.932784623E-1
1.566459133E1,4.215637833E-1
1.570444033E1,3.726144022E-1
1.574428933E1,3.943175125E-1
1.578413833E1,3.747024429E-1
1.582398733E1,4.106335831E-1
1.586383633E1,3.917733890E-1
1.590368433E1,3.693154031E-1
1.594353333E1,3.610801846E-1
1.598338233E1,3.369744533E-1
1.602323133E1,3.437081069E-1
1.606308017E1,2.925122255E-1
1.610292817E1,2.787338465E-1
1.614277717E1,2.697572011E-1
1.618262617E1,2.998434645E-1
1.622247517E1,2.502953285E-1
1.626232417E1,2.842734987E-1
1.630217217E1,2.371174586E-1
1.634202117E1,2.086730933E-1
1.638187017E1,1.860712659E-1
1.642171917E1,1.826243323E-1
1.646156817E1,1.877137488E-1
1.650141617E1,1.431041712E-1
1.654126517E1,1.920506287E-1
1.658111417E1,1.350215650E-1
1.662096317E1,1.327698022E-1
1.666081217E1,1.005843884E-1
1.670066017E1,1.008814269E-1
1.674050917E1,8.397127926E-2
1.678035817E1,2.843676388E-2
1.682020717E1,4.954228878E-2
1.686005517E1,6.869893670E-2
1.689990417E1,-8.089622855E-3
1.693975317E1,4.325477779E-2
1.697960217E1,5.043398917E-2
1.701945117E1,1.825032949E-2
1.705929929E1,5.102748156E-2
1.709914829E1,4.638362288E-2
1.713899729E1,6.254357278E-2
1.717884629E1,1.299543679E-2
1.721869429E1,4.696775973E-2
1.725854329E1,4.591818452E-2
1.729839229E1,2.645689666E-2
1.733824129E1,3.124459684E-2
1.737809029E1,1.342988491E-2
1.741793829E1,2.375489831E-2
1.745778729E1,-3.552066565E-2
1.749763629E1,-6.329026222E-3
1.753748529E1,3.213688195E-2
1.757733329E1,-2.684222817E-2
1.761718229E1,-1.695107818E-3
1.765703129E1,1.593950987E-3
1.769688029E1,-6.945322752E-3
1.773672829E1,-3.209361255E-2
1.777657729E1,1.535654247E-2
1.781642629E1,-5.749567151E-3
1.785627529E1,5.029774904E-3
1.789612329E1,4.578954577E-3
1.793597229E1,-2.027229667E-2
1.797582129E1,-4.707008600E-3
1.801567029E1,-1.817723930E-2
1.805551829E1,-1.982439995E-2
1.809536729E1,2.119381785E-2
1.813521629E1,6.821946502E-3
1.817506529E1,-3.509031057E-2
1.821491329E1,-2.760528982E-2
1.825476229E1,-3.015175223E-2
1.829461129E1,-1.997291923E-2
1.833446029E1,-3.165039361E-2
1.837430829E1,-8.452150226E-3
1.841415729E1,-9.648490548E-3
1.845400629E1,-5.381134093E-2
1.849385529E1,3.943771541E-2
1.853370329E1,-7.861581445E-3
1.857355229E1,-8.462675214E-3
1.861340129E1,1.119741797E-3
1.865325029E1,-2.927057683E-2
1.869309829E1,-2.313918650E-2
1.873294729E1,2.924718797E-2
1.877279629E1,-9.374840856E-3
1.881264529E1,-2.674457967E-2
1.885249329E1,9.322215915E-3
1.889234229E1,3.178546429E-3
1.893219129E1,-1.418651462E-2
1.897203929E1,1.379942894E-3
1.901188829E1,2.996873438E-2
1.905173679E1,7.069283724E-3
1.909158579E1,-3.035172701E-2
1.913143379E1,4.793371975E-2
1.917128279E1,-4.666721284E-2
1.921113179E1,7.963907719E-3
1.925097979E1,-1.618509293E-3
1.929082879E1,-3.455587506E-2
1.933067779E1,3.579314590E-2
1.937052679E1,-1.210782945E-2
1.941037479E1,-2.273455918E-2
1.945022379E1,-8.362687826E-3
1.949007279E1,-2.671008110E-3
1.952992179E1,-3.665502548E-2
1.956976979E1,-5.297051132E-2
1.960961879E1,1.284504640E-1
1.964946779E1,-9.098442972E-2
1.968931579E1,1.170203269E-2
1.972916479E1,1.110152364E-2
1.976901379E1,3.612994552E-3
1.980886279E1,-1.869062483E-2
1.984871079E1,9.302335382E-3
1.988855979E1,-1.599213481E-2
1.992840879E1,-4.607781351E-2
1.996825679E1,2.502315938E-2
2.000810579E1,7.664530277E-3
2.004795567E1,-4.771912694E-2
2.008780467E1,-9.699361324E-3
2.012765267E1,4.493585229E-2
2.016750167E1,-2.018166482E-2
2.020735067E1,4.942066669E-2
2.024719867E1,1.813689351E-2
2.028704767E1,-1.015076637E-2
2.032689667E1,1.125530541E-2
2.036674467E1,5.092340112E-2
2.040659367E1,-8.648031950E-4
2.044644267E1,2.773217440E-2
2.048629167E1,2.428991854E-2
2.052613967E1,-1.927476168E-2
2.056598867E1,-2.657559514E-3
2.060583767E1,2.054360747E-2
2.064568567E1,-4.152692556E-3
2.068553467E1,7.443622470E-2
2.072538367E1,2.139496207E-3
2.076523167E1,5.282374620E-3
2.080508067E1,7.379770875E-3
2.084492967E1,3.327475011E-2
2.088477767E1,-2.929688931E-2
2.092462667E1,5.585845113E-3
2.096447567E1,2.339997232E-2
2.100432467E1,2.819936693E-2
2.104417183E1,1.406840086E-3
2.108402083E1,-1.490104437E-2
2.112386983E1,-1.578163505E-3
2.116371783E1,-2.402387023E-2
2.120356683E1,-9.805780649E-3
2.124341583E1,-2.566693783E-2
2.128326383E1,-4.781619072E-2
2.132311283E1,-6.427493334E-2
2.136296183E1,-5.304594040E-2
2.140280983E1,-1.362687761E-1
2.144265883E1,-5.693083048E-2
2.148250783E1,-1.361085624E-1
2.152235583E1,-1.425428385E-1
2.156220483E1,-1.266752493E-1
2.160205383E1,-1.552622867E-1
2.164190183E1,-1.443309170E-1
2.168175083E1,-1.765075600E-1
2.172159983E1,-1.115385622E-1
2.176144783E1,-1.944602662E-1
2.180129683E1,-1.889141822E-1
2.184114583E1,-2.730363196E-1
2.188099383E1,-2.387593567E-1
2.192084283E1,-2.059822047E-1
2.196069183E1,-3.640464771E-1
2.200053983E1,-3.200409168E-1
2.204038929E1,-3.137557447E-1
2.208023829E1,-3.442893201E-1
2.212008729E1,-3.559621167E-1
2.215993529E1,-3.576069385E-1
2.219978429E1,-3.368048841E-1
2.223963229E1,-3.198888892E-1
2.227948129E1,-3.619520044E-1
2.231933029E1,-3.915968031E-1
2.235917829E1,-3.375603443E-1
2.239902729E1,-3.531279713E-1
2.243887629E1,-3.531338185E-1
2.247872529E1,-3.082330495E-1
2.251857329E1,-3.157198244E-1
2.255842229E1,-3.907162124E-1
2.259827029E1,-3.449097097E-1
2.263811929E1,-4.134642202E-1
2.267796829E1,-3.652685452E-1
2.271781629E1,-3.773945010E-1
2.275766529E1,-3.854800308E-1
2.279751429E1,-3.550973135E-1
2.283736229E1,-3.767998391E-1
2.287721129E1,-3.901244742E-1
2.291706029E1,-3.708216459E-1
2.295690829E1,-3.723179483E-1
2.299675729E1,-3.826423770E-1
2.303660629E1,-3.568976712E-1
2.307645429E1,-3.450693387E-1
2.311630329E1,-3.884808218E-1
2.315615229E1,-2.675358438E-1
2.319600029E1,-3.012087893E-1
2.323584929E1,-2.735163760E-1
2.327569829E1,-2.245652407E-1
2.331554629E1,-2.792063016E-1
2.335539529E1,-2.308585989E-1
2.339524429E1,-2.345978934E-1
2.343509229E1,-2.416332632E-1
2.347494129E1,-1.928329861E-1
2.351479029E1,-2.136373794E-1
2.355463829E1,-1.973242325E-1
2.359448729E1,-2.070516604E-1
2.363433529E1,-1.887884670E-1
2.367418429E1,-1.889358169E-1
2.371403329E1,-1.622923940E-1
2.375388129E1,-1.396864736E-1
2.379373029E1,-1.283101308E-1
2.383357929E1,-1.179833633E-1
2.387342729E1,-1.375896621E-1
2.391327629E1,-1.079536343E-1
2.395312529E1,-9.912316918E-2
2.399297329E1,-7.217919946E-2
2.403282229E1,-1.037629348E-1
2.407267004E1,-7.233064234E-2
2.411251904E1,-1.399788344E-1
2.415236804E1,-7.007244766E-2
2.419221604E1,-9.431909680E-2
2.423206504E1,-1.154532731E-2
2.427191404E1,-1.681097889E-1
2.431176204E1,-2.471384168E-2
2.435161104E1,-1.127214539E-1
2.439145904E1,-3.279527843E-2
2.443130804E1,-3.624104261E-2
2.447115704E1,-7.650496960E-3
2.451100504E1,-4.866111338E-2
2.455085404E1,-1.827021003E-2
2.459070304E1,-4.431838632E-2
2.463055104E1,-5.434986949E-2
2.467040004E1,-5.929193616E-2
2.471024804E1,-5.104034543E-3
2.475009704E1,-1.155748951E-1
2.478994604E1,1.346993834E-1
2.482979404E1,-1.517960572E-1
2.486964304E1,4.279284775E-2
2.490949104E1,1.735453606E-2
2.494934004E1,-1.318137825E-2
2.498918904E1,-1.258028448E-2
2.502903704E1,3.680763781E-2
2.506888596E1,-5.285415173E-2
2.510873496E1,1.121963739E-2
2.514858296E1,-6.602208138E-2
2.518843196E1,6.285698354E-2
2.522827996E1,3.352150261E-2
2.526812896E1,-2.305674076E-2
2.530797796E1,-3.099024296E-2
2.534782596E1,2.984418869E-3
2.538767496E1,-1.318196297E-2
2.542752296E1,4.775421023E-3
2.546737196E1,-8.243989348E-3
2.550722096E1,-2.426185191E-2
2.554706896E1,-2.515764534E-2
2.558691796E1,-2.590082645E-2
2.562676596E1,6.466435790E-2
